n,r,m
euro area general government budget balance,revision period,2020 22
stabilise,in,2022
projected fiscal stance,description,expansionary
projected fiscal stance,description,broadly neutral
projected fiscal stance,projected stance in,2022
projected fiscal stance,projected stance in,2020
projected fiscal stance,projected stance in,2021
expansionary,in,2020
expansionary,in,2021
broadly neutral,in,2022
gradual downward path,due to,favourable interest rate growth differential
gradual downward path,due to,positive primary balance
outlook for the fiscal stance,described as,worsening
Eurogroup,supports,joint and coordinated policy action
Eurogroup,involved in interplay for,EMU
Eurogroup,provides strategic guidance for,EMU
Eurogroup,position on,fiscal stance
Eurogroup,negotiates deepening of,EMU
Eurogroup,commitment to,joint and coordinated policy action
joint and coordinated policy action,in response to,virus spread
LTROs,will be carried out through,fixed rate tender procedure
LTROs,play role,marginal role
LTROs,decrease in recourse,0 point 4 billion
money markets,experienced no severe strains since,the war
banking system,has average daily liquidity needs,Euro2495 point 7 billion
banking system,acquire assets,excess liquidity
banking system,context for,central bank liquidity
interest rate,is below,Eurosystems main refinancing operations
interest rate,will be equal to,deposit facility
interest rate,can be as low as,deposit facility
new LTROs,to bridge the period until,TLTRO III operation
new LTROs,will provide liquidity,financial system
TLTRO III operation,occurs in,June 2020
June 2020,inflation rate 2022,1 point 3percent in 2022
June 2020,inflation rate 2020,0 point 3percent in 2020
June 2020,inflation rate 2021,0 point 8percent in 2021
counterparties,has rate,interest rate
counterparties,maintain,credit provision
counterparties,benefits from expansion of,scope
maximum total amount,is based on,eligible loans
eligible loans,reference date,28 February 2019
borrowing volume,increased by,Euro1 trillion
borrowing volume,total amount,Euro3 trillion
new conditions,aims to ease,funding conditions
funding conditions,in,real economy
funding conditions,especially for,households
funding conditions,especially for,businesses
funding conditions,determines supply,credit
Eurosystem committees,investigate,collateral easing measures
collateral easing measures,ensures use of,ECBs funding support
ambitious and coordinated fiscal stance,is needed in view of,weakened outlook
ambitious and coordinated fiscal stance,safeguard against further materialisation,downside risks
ambitious and coordinated fiscal stance,necessity due to,sharp contraction
several governments,have taken measures,health sector resources
several governments,have taken measures,affected companies
several governments,have taken measures,employees
several governments,measures taken for,health sector resources
several governments,measures taken for,affected companies
several governments,measures taken for,employees
employees,in,labour intensive travel industry
employees,receive,compensation
employees,less,job concern
employees,earns,average wage
credit guarantees,are needed to complement and reinforce,monetary policy measures
monetary policy measures,support,ample degree of monetary accommodation
monetary policy measures,contribute to,access to finance
monetary policy measures,to support,economy
monetary policy measures,need to be complemented and reinforced by,credit guarantees
monetary policy measures,to safeguard,medium term price stability
monetary policy measures,operates via,longer term yields
monetary policy measures,intervene on,yield curve
the Governing Council,is taking,monetary policy measures
the Governing Council,welcomes the measures,several governments
benchmark allocation,continues to be,capital key
public sector security purchases,will continue to have,benchmark allocation
capital key,is the capital key of,national central banks
purchases under the new PEPP,will be conducted in,flexible manner
flexible manner,allows for,fluctuations
distribution of purchase flows,among,jurisdictions
distribution of purchase flows,over time across,asset classes
fluctuations,in the distribution of,distribution of purchase flows
waiver,subject to,haircut schedule
waiver,on date,7 April 2020
waiver,granted for,PEPP
waiver,on basis,temporary basis
waiver,for use as collateral,GGBs
waiver,reason for extending,Eurosystem monetary policy operations
eligibility requirements,subject to,waiver
eligibility requirements,waived for,securities
net asset purchases,occurred in,December 2021
net asset purchases,under,APP
net asset purchases,under,pandemic emergency purchase programme PEPP
net asset purchases,under,PEPP
net asset purchases,under,ECBs PEPP
net asset purchases,lower pace than,previous quarter
net asset purchases,shortly before raising,key ECB interest rates
net asset purchases,shortly before,key ECB interest rates
net asset purchases,conducted under,pandemic emergency purchase programme PEPP
net asset purchases,discontinue at,end of March 2022
net asset purchases,as of,1 July 2022
net asset purchases,discontinued on,March 2022
net asset purchases,continues until over,coronavirus crisis phase
net asset purchases,not past,end of this year
net asset purchases,under APP with limited impact on,M3
net asset purchases,should be concluded in,third quarter
net asset purchases,Rise In,banking system
net asset purchases,to be concluded in,third quarter
net asset purchases,halted during,second maintenance period
programme CSPP,includes,Non financial commercial paper
Non financial commercial paper,added to,programme CSPP
Commercial paper,has quality,sufficient credit quality
Commercial paper,eligible for purchase under,programme CSPP
change implemented to the CSPP,is,addition of non financial commercial paper
Additional Credit Claims ACC,ensures for,counterparties
Additional Credit Claims ACC,will be expanded to include,claims related to the financing of the corporate sector
scope,of,Additional Credit Claims ACC
ACC,expansion ensures full use of,Eurosystems refinancing operations
Governing Council of the ECB,Committed To,Euro Area Citizens
Families,Can Benefit From,Supportive Financing Conditions
Firms,affected by,pandemic
Firms,Can Benefit From,Supportive Financing Conditions
Firms,assess,pandemic related support measures
Firms,did not specify,perceptions before the introduction of government support
Governments,Can Benefit From,Supportive Financing Conditions
Governments,has primary responsibility for,social inequalities
Governments,assisted,Small firms
Governments,assist with,financing needs
Supportive Financing Conditions,Purpose To Enable,Economy
Economy,To Absorb,Shock Absorption
The Governing Council,ready to increase,asset purchase programmes
The Governing Council,prepared to increase,asset purchase programmes
The Governing Council,ready to adjust,size
The Governing Council,ready to adjust,composition
The Governing Council,support through,economy
The Governing Council,to support,shock
The Governing Council,will do,everything necessary
The Governing Council,will explore,all options
The Governing Council,will explore,all contingencies
The Governing Council,discontinue,net asset purchases
The Governing Council,conducting,net asset purchases
The Governing Council,conducting at a lower pace in,first quarter of 2022
The Governing Council,sees as increasingly likely,2percent target
everything necessary,within,mandate
asset purchase programmes,includes,APP
asset purchase programmes,includes,PEPP
asset purchase programmes,includes,third series of targeted longer term refinancing operations
asset purchase programmes,impact on,liquidity position
asset purchase programmes,impact on,market financing conditions
asset purchase programmes,responsible for,percentage of liquidity increase
asset purchase programmes,increase is through,monetary policy instrument
asset purchase programmes,primarily,PEPP
size,varies across,euro area countries
self imposed limits,hamper,action
self imposed limits,if hamper,action
action,required by,ECB
coronavirus COVID 19 epidemic,according to,March 2020 ECB staff macroeconomic projections
coronavirus COVID 19 epidemic,worsened the outlook for,global economy
signs of stabilisation,emerging in,activity and trade
slower growth trajectory,associated with,structural transition
global real GDP growth,time,fourth quarter of 2022
global real GDP growth,time,December 2022 projections
global real GDP growth,affected by,inflation
global real GDP growth,affected by,policy support
global real GDP growth,affected by,Omicron variant
global real GDP growth,affected by,labour market conditions
global real GDP growth,affected by,supply bottlenecks
global real GDP growth,affected by,Russia Ukraine war
global real GDP growth,compared with,December 2022 projections
global real GDP growth,decreased to,0 point 4percent
global real GDP growth,occurred in,third quarter of 2020
global real GDP growth,was,7 point 4percent
global real GDP growth,excluding,euro area
global real GDP growth,had growth rate of,2 point 9percent
global real GDP growth,revised down compared to,December 2021 Eurosystem staff macroeconomic projections
global real GDP growth,revised up by,0 point 3 percentage points
global real GDP growth,revised percentage for 2021,6 point 3percent
global real GDP growth,For,first quarter of 2022
global real GDP growth,revised up compared to,December 2021 Eurosystem staff macroeconomic projections
global real GDP growth,had growth rate excluding,euro area
global real GDP growth,achieved last year,last year
global real GDP growth,gap has narrowed,gap
global real GDP growth,moderate growth from,2022
global real GDP growth,Revised down by,0 point 7 percentage points
global real GDP growth,Revised to,0 point 5percent quarter on quarter
global real GDP growth,growth rate is,6 point 2percent
global real GDP growth,as slow as,Great Recession
global real GDP growth,is projected for,this year
global real GDP growth,expected to slow down in,2022
global real GDP growth,projected growth for,this year excluding the euro area
global real GDP growth,expected to slow down by,2022
global real GDP growth,slow down to,4 point 2percent
2012 13,compared to episodes,2015 16
consumers,percentage of,75percent
consumers,reported inflation expectations higher than,inflation expectations
consumers,delay,purchases of durable goods
consumers,report,rounded numbers
consumers,have uncertainty due to,COVID 19 crisis
consumers,state after,first quarter aftermath
consumers,became more optimistic,first quarter
consumers,saving less in,bank deposits
global manufacturing activity,declined due to delay in investment and purchases,trade
advanced and emerging market economies,deployed,demand stimulating policies
demand stimulating policies,limited slowdown pace and depth,global real GDP growth
demand stimulating policies,deployed in year,2019
Hubei province,implemented measures to contain,outbreak
outbreak,effect on,economic activity
outbreak,transformed into,production disruptions
Asia Pacific region,linked to,supply chains
Asia Pacific region,experienced negative spillovers from,China
Asia Pacific region,destination for,Chinese tourists
supply chains,experienced,earlier this year
supply chains,is exacerbated by,pandemic related measures
supply chains,could be disrupted by,Widespread lockdowns
global manufacturing PMI,refers to timeframe of,February
global manufacturing PMI,showed stability excluding,China
global manufacturing PMI,excludes region,China
production in China,returning to normal gradually affecting,manufacturing activity
virus,cause of fall in,manufacturing activity
rally in risky assets,interrupted by,mid February
Global financial conditions,associates with,advanced economies
Global financial conditions,associates with,EMEs
Global financial conditions,tightened after,March 2020
Global financial conditions,tightened follow up,Phase 1 trade agreement
ECB staff macroeconomic projections,published on,March 2021
ECB staff macroeconomic projections,published in,March 2023
ECB staff macroeconomic projections,published in,March 2021
ECB staff macroeconomic projections,represents,baseline scenario
ECB staff macroeconomic projections,represented by,March 2023
ECB staff macroeconomic projections,projection by,euro area
ECB staff macroeconomic projections,foresee increase in,underlying inflation
ECB staff macroeconomic projections,identified in,March 2023
ECB staff macroeconomic projections,forecasting for,March 2020
ECB staff macroeconomic projections,forecasts inflation for,2022
ECB staff macroeconomic projections,forecasts inflation for,2020
ECB staff macroeconomic projections,forecasts inflation for,2021
ECB staff macroeconomic projections,present effects on,downward pressures on prices
ECB staff macroeconomic projections,assumptions regarding,COVID 19 outbreak
ECB staff macroeconomic projections,finalised time,early March
ECB staff macroeconomic projections,effects to be offset by,upward effects
ECB staff macroeconomic projections,date of projection,March 2022
ECB staff macroeconomic projections,finalized time,early March
ECB staff macroeconomic projections,has date,March 2021
EMEs exchange rates,stability against,US dollar
monetary policy easing measures,weighed on,US dollar
monetary policy easing measures,influenced,EMEs exchange rates
monetary policy easing measures,influenced by,Federal Reserve
downward pressure,on,average hours worked
downward pressure,caused by,recent appreciation of the euro effective exchange rate
downward pressure,due to,absences
downward pressure,offset,upward pressure
global equity markets,caused by,rising risk free rates
global equity markets,contributed by,geopolitical uncertainty
global equity markets,plunged by,China
global equity markets,poorer performance in,euro area
global equity markets,plunged time,mid February
global growth rate for 2019,is estimated to be,2 point 9percent
expected global growth rates for 2021,is expected to be,3 point 5percent
expected global growth rates for 2022,is expected to be,3 point 4percent
long term average of global growth rate,has average,3 point 8percent
global growth projections for 2020,compared to,December 2019 Eurosystem staff macroeconomic projections
global growth projections for 2020,has upward revisions due to,upward revisions related to lower trade tariffs
global growth projections for 2020,has downward revisions due to,downward revisions in 2020Q1
downward revisions in 2020Q1,caused by,virus outbreak in China
medium term outlook for the global economy,is based on,March projections
March projections,compared with,Eurosystem staff macroeconomic projections
March projections,implies recovery in,recovery in a number of Emerging Market Economies
recovery prospects,could be derailed by,External headwinds
recovery prospects,could be derailed by,domestic political instability
impact of COVID 19 on the global economy,has materialised causing,downside risk to the global economy
downside risk to the global economy,implies,global activity this year
global activity this year,is likely weaker than,March 2020 ECB staff macroeconomic projections
annual headline consumer price inflation,value,2 point 3percent
annual headline consumer price inflation,in month,April
annual headline consumer price inflation,has value,0 point 9percent
annual headline consumer price inflation,occurs in,April
annual headline consumer price inflation,occurs in,OECD countries
annual headline consumer price inflation,decreased to,8 point 3percent
annual headline consumer price inflation,observed in,United States
annual headline consumer price inflation,increase,May
annual headline consumer price inflation,change rate in month,February
annual headline consumer price inflation,is slowed by,sharp fall in oil prices
annual headline consumer price inflation,is slowed by,lower core inflation
annual headline consumer price inflation,R Time,May
annual headline consumer price inflation,R Value,1 point 3percent
2percent target,relevant with,year on year data
2percent target,over term,medium term
policy interest rate,cause for action,outbreak
policy interest rate,change magnitude,50 basis points
policy interest rate,action on date,March 3
liquidity provisions,purpose,economy
additional fiscal spending,purpose,economy
Chinas real GDP,expected trend over,medium term
Lower tariffs,expected to support,trade agreement
trade agreement,associated with,United States
slowdown,in,economic activity
slowdown,in,EMEs
slowdown,compared to,previous projections
slowdown,projections for,China
Incoming data,suggest slowdown in,first quarter
recovery of activity,compared with,March 2020 ECB staff macroeconomic projections
recovery of activity,recovery in,China
economic policy measures,includes,monetary policy
economic policy measures,includes,fiscal spending
economic policy measures,enacted in,China
negative shocks,related to,pandemic
negative shocks,is related to,pandemic
negative shocks,led to contraction of,economic activity
production disruptions,caused by,typhoons
production disruptions,caused by,powerful typhoons
production disruptions,occurred during,October
production disruptions,occurred in,October
production disruptions,impacted,global trade
production disruptions,expected to continue,global trade
external demand,affecting,growth in EMEs
external demand,location,euro area countries
external demand,part of,negative shocks
external demand,contracted sharply,containment measures
external demand,reflection of downturn,a much deeper downturn
inbound tourism,during,Lunar New Year
inbound tourism,declined due to,coronavirus outbreak
Lunar New Year,contributed to,shipping volumes
Japanese authorities,enacted measures,COVID 19
Japanese government,announced,economic package
Japanese government,responded with,emergency fiscal packages
Japanese government,declared,state of emergency
emergency fiscal packages,includes support for,SMEs
Bank of Japan,provides,liquidity
Bank of Japan,launched,fund provisioning measure
Bank of Japan,provided,liquidity
Bank of Japan,introduced,special funds supplying operation
Bank of Japan,monitoring situation,economic activity
Bank of Japan,increased purchases of,commercial paper
Bank of Japan,increased purchases of,bonds
Bank of Japan,ensures stability in,financial markets
Bank of Japan,decided at,emergency meeting
Bank of Japan,purchased,short term government bonds
Bank of Japan,purchased,longer term government bonds
Bank of Japan,eased access to,corporate funding facilities
Bank of Japan,took action in,April
Bank of Japan,raised limits on,corporate bonds
Bank of Japan,raised limits on,commercial paper
Bank of Japan,tighten monetary policy at a slower pace than,major central banks
fiscal stimulus measures,announced by,Japan
fiscal stimulus measures,has cumulative effect on,euro area GDP
fiscal stimulus measures,supports growth,growth
sentiment,change due to,general election results
sentiment,change due to,orderly withdrawal
sentiment,timeframe,end of January
sentiment,after time period,late March
sentiment,started to erode,Turkey
turnaround in activity,location,United Kingdom
turnaround in activity,context of,UK EU trade negotiations
turnaround in activity,timeframe,2020
targeted lending programme,target,small and medium sized enterprises
draft budget,includes,fiscal measures
draft budget,proposed by,government
economic sentiment,impact on,inflation expectations
economic sentiment,started to improve in,Brazil
economic sentiment,improvement time,fourth quarter
Brazil,increase,policy rates
Brazil,region recovered to,fourth quarter of 2019
Brazil,is expected to affect,economic growth
Brazil,slow growth due to,monetary policy tightening
Brazil,economic activity continued despite,new infections
Brazil,economic activity stood close to,pre pandemic levels
subdued growth,reason for subdued growth,tight fiscal constraints
subdued growth,reason for subdued growth,budget freezes
subdued growth,reason for subdued growth,uncertain external environment
subdued growth,affected in,Brazil
spread of the COVID 19 virus,worsened,economic situation
economic situation,located in,Brazil
economic situation,regarded by,18percent
Fiscal imbalances,is,principal source of risk
principal source of risk,in,Brazil
large fiscal stimulus,due to,fiscal rules
large fiscal stimulus,leads to,positive global spillovers
large fiscal stimulus,expected to impact,recovery in the United States
large fiscal stimulus,cause,global spillovers
large fiscal stimulus,approved by,Biden administration
large fiscal stimulus,less likely in,Brazil
large fiscal stimulus,strengthens recovery in,United States
large fiscal stimulus,to strengthen recovery in,the United States
fiscal rules,addressed,crisis
fiscal rules,example of,spending cap ceiling
activity levels,continue to recover strongly from,the recent crisis related recession
activity levels,continue to recover strongly in,Turkey
robust growth in household consumption,occurred in,Turkey
private sector investment,happened in,Turkey
the bottoming out,happened in,Turkey
the bottoming out,occurred in,2019
Expansionary fiscal policy,drove,robust growth in household consumption
Expansionary fiscal policy,drove,the bottoming out
Expansionary fiscal policy,expected to continue fostering growth in,Turkey
rapid credit expansion,drove,robust growth in household consumption
rapid credit expansion,drove,the bottoming out
rapid credit expansion,expected to continue fostering growth in,Turkey
Real GDP growth,in,annual terms
Real GDP growth,located in,China
Real GDP growth,declined in,the second half of 2021
Real GDP growth,measured in,annual terms
Real GDP growth,strengthened in,the fourth quarter
Real GDP growth,moved into positive territory in,Turkey
late 2019,time of higher trust,ECB
other EMEs,contributed to,global imports
global merchandise imports,extended the decline,February
global merchandise imports,contracted by,0 point 7percent
global merchandise imports,contracted,first quarter of 2020
global merchandise imports,contracted,February
global merchandise imports,have decline pace in,advanced economies
global merchandise imports,have decline pace in,EMEs
global merchandise imports,have drop compared to,Great Recession
viruss impact on trade,more significant than,March 2020 ECB staff macroeconomic projections
Phase 1 trade deal,provided,respite from trade tensions
Phase 1 trade deal,involved reduction of,bilateral trade tariffs
bilateral trade tariffs,were reduced after,Phase 1 trade deal
USD 200 billion,pertains to,goods and services
USD 200 billion,within timeframe,next two years
partial de escalation,supports recovery in,trade
partial de escalation,supports recovery in,global manufacturing activity
trade conflict,between,China
trade conflict,between,United States
epidemic,weighing on,global trade
epidemic,weighing on,euro area foreign demand
epidemic,cause of weaker imports and demand,global imports
epidemic,cause of weaker imports and demand,euro area foreign demand
euro area foreign demand,affected by,Russia Ukraine war
euro area foreign demand,growth rate in,2021
euro area foreign demand,during,2020
euro area foreign demand,was,9 point 9percent
euro area foreign demand,fall by,mild scenario
euro area foreign demand,fall by,severe scenario
euro area foreign demand,fall by,medium scenario
euro area foreign demand,growth in,2022
euro area foreign demand,growth in,2021
euro area foreign demand,persist up to,end of 2022
euro area foreign demand,has trade with,Russia
euro area foreign demand,has trade with,central and eastern Europe
euro area foreign demand,status over time,end of the projection horizon
euro area foreign demand,expected to rise to,2025
euro area foreign demand,expected to rise to,2024
euro area foreign demand,persist under,severe scenario
euro area foreign demand,expected to increase by according to projections,March 2023 projections
euro area foreign demand,projected growth rate for,2022
euro area foreign demand,projected growth rate for,2023
euro area foreign demand,projected growth rate for 2022,euro area foreign demand
euro area foreign demand,projected growth rate for 2023,euro area foreign demand
euro area foreign demand,comparison to level,fourth quarter of 2019
euro area foreign demand,contraction amount,15 point 1percent
euro area foreign demand,expected to increase by in 2021,euro area foreign demand
euro area foreign demand,growth projection,2025
euro area foreign demand,growth projection,2024
euro area foreign demand,growth projection,this year
euro area foreign demand,forecasted expansion,8 point 6percent
euro area foreign demand,expected to increase by,2021
euro area foreign demand,projection revision,revised down
euro area foreign demand,more subdued compared with,world imports
euro area foreign demand,forecasted expansion in year,2022
euro area foreign demand,forecasted expansion in year,2023
euro area foreign demand,forecasts revised compared with,March 2021 ECB staff macroeconomic projections
most acute downside risk,caused by,COVID 19 outbreak
most acute downside risk,is a risk to,global activity outlook
downside risks from trade tensions,abated by,Phase 1 deal
no deal Brexit,depends on,EU UK negotiations
sharper slowdown in China,could affect,ongoing rebalancing process
sharper slowdown in China,challenge to counteract with,policy stimulus
policy stimulus,contributed to,resilience of activity
policy stimulus,was implemented for,resilience of activity
repricing of risk,by,financial markets
repricing of risk,negative impact on,EMEs
repricing of risk,could affect,global activity
risk of a no deal Brexit,pushed back to,end of the year
OPEC,increased production lead to,energy prices collapse
oil production,related to,Russia
oil production,due to,shutdowns
oil production,amount,global crude oil supply
oil production,declined in,United States
oil production,declined in,Canada
Saudi Arabia,intended to gain,market shares
Saudi Arabia,announced increase in,oil production
Saudi Arabia,cushion impact,foreign demand
Saudi Arabia,added to breakdown of,emerging market economies
market shares,reduces,ERPT
market shares,referenced in,Chart A
market shares,recovery after,pandemic
market shares,did not recover,euro area exports
spot prices,moved,short end of the oil futures curve
oil futures curve,flattened over,projection horizon
price of oil,declined since,cut off date for the March projections
Brent crude,price on,11 March
Brent crude,had price of,USD 34 point 5 per barrel
Brent crude,price on date,USD 38 point 3 per barrel
Brent crude,price above,USD 30 per barrel
annual core CPI inflation excluding food and energy,remained unchanged at,rate of 2 point 1percent
spreads between sovereign bonds,increased,euro area
forward curve,associated with,euro overnight index average
forward curve,became,became steeper
forward curve,is associated with,euro overnight index average EONIA
forward curve,shifted,shifted upwards
forward curve,increased,medium to long term maturities
forward curve,is of,euro overnight index average
forward curve,observed during period,12 March 2020
forward curve,observed during period,3 June 2020
forward curve,increased due to,monetary policy normalisation
forward curve,shifted downwards,EONIA
forward curve,does not signal,rate cut
forward curve,property of,euro overnight index average EONIA
forward curve,reflects changes,policy rates
forward curve,behavior across,medium to long term maturities
forward curve,increased marginally,euro overnight index average EONIA
euro overnight index average,average during,review period
euro overnight index average,is also known as,EONIA
euro overnight index average,had review period,review period
euro overnight index average,average over period,review period
euro overnight index average,has average,45 basis points
euro overnight index average,had average,48 basis points
euro overnight index average,abbreviated as,EONIA
monetary policy accommodation,despite,long term euro area sovereign bond yields
monetary policy accommodation,accompanied by,policy measures
monetary policy accommodation,since,2009
monetary policy accommodation,provided by,pandemic emergency purchase programme PEPP
Euro,weakened in,foreign exchange markets
Euro,strengthened against,emerging market economies
Euro,strengthened against,Swiss franc
Euro,strengthened against,non euro area EU Member States
Euro,depreciated against,pound sterling
Euro,depreciated against,US dollar
Euro,depreciated against,Chinese renminbi
Euro,depreciated most against,US dollar
Euro,strengthened by,Turkish lira
Euro,strengthened by,Brazilian real
Euro,strengthened by,2 point 9percent
Euro,appreciated against,emerging market economies
Euro,appreciated against,Japanese yen
Euro,appreciated against,Swiss franc
Euro,depreciated by,1 point 8percent
Euro,depreciated by,2 point 3percent
Euro,depreciated by,pound sterling
Euro,depreciated by,Chinese renminbi
Euro,depreciated by,6 point 0percent
Euro,appreciated by,2 point 0percent
Euro,appreciated by,2 point 9percent
Euro,appreciated,volatile foreign exchange markets
Euro,weakened during,review period
Euro,strengthened notably against,Turkish lira
Euro,strengthened notably against,Brazilian real
Euro,trading partners,trading partners
Euro,mostly strengthened against,non euro area EU Member States
Euro,depreciated because of,COVID 19 pandemic
trading partners,is integrated in,integration in global value chains
sovereign and corporate bond spreads,widened,11 March 2020
sovereign yields,affected by,risk free rates
sovereign yields,affected by,spreads
long term sovereign yields,increased in,euro area
long term sovereign yields,influenced by,COVID 19
long term sovereign yields,influenced by,related lockdowns
long term sovereign yields,reversed by,economic policy measures
long term sovereign yields,change since meeting,increased
long term sovereign yields,decreased significantly in,euro area
movements in average euro area sovereign yields,divided into,three phases
yields,reflected in,securities held by banks
yields,increase due to,global risk sentiment
yields,increase due to,macroeconomic indicators
yields,increased slightly between,12 December 2019
yields,increased slightly between,mid January 2020
second phase,led to,risk sentiment
coronavirus related news,caused,risk sentiment
disappointing macroeconomic releases,caused,risk sentiment
risk sentiment,seen in,equity market
risk sentiment,dropped,risk sentiment
risk sentiment,changed during,review period
risk sentiment,attributed to confidence regarding,Ukraine
most recent phase,witnessed,sovereign yields decline
sovereign yields decline,due to spread of,coronavirus
flight to safety movements,movement into,risk free assets
spreads of euro area sovereign bonds,increased relative to,overnight index swap rates
spreads of euro area sovereign bonds,increased for,countries
ten year sovereign spreads,decreased in,Germany
ten year sovereign spreads,increased for,Greek
ten year sovereign spreads,increased for,Italian
ten year sovereign spreads,increased for,Portuguese
ten year sovereign spreads,increased for,Spanish
ten year sovereign spreads,reached value for,Greek
ten year sovereign spreads,reached value for,Italian
ten year sovereign spreads,reached value for,Portuguese
ten year sovereign spreads,reached value for,Spanish
ten year sovereign spreads,remained stable in,France
Italian,associated with,ten year sovereign bond spreads
Portuguese,associated with,ten year sovereign bond spread
GDP weighted euro area ten year sovereign bond spread,increased by,ten year sovereign spreads
new benchmark euro short term rate EuroSTR,average amount,54 basis points
new benchmark euro short term rate EuroSTR,average over period,review period
decrease,in,open market operations
decrease,in,tender operations
decrease,affects,yields
decrease,affects,risk free component
decrease,due to,lower demand
decrease,driven by,lower demand
decrease,affect,inflation rate
change in excess liquidity,main factors,voluntary repayments
change in excess liquidity,main factors,liquidity absorbing autonomous factors
change in excess liquidity,reflects change in period,review period
second series of targeted longer term refinancing operations TLTRO II,contributes to,change in excess liquidity
liquidity absorbing autonomous factors,contributes to,change in excess liquidity
liquidity absorbing autonomous factors,involved in,decline
liquidity absorbing autonomous factors,increased to,Euro3172 point 0 billion
liquidity absorbing autonomous factors,amounted to,3321 point 9 billion
liquidity absorbing autonomous factors,increase by,149 point 9 billion
liquidity absorbing autonomous factors,decrease by,Euro77 point 4 billion
liquidity absorbing autonomous factors,value after decrease,Euro2921 point 0 billion
liquidity absorbing autonomous factors,less,liquidity providing autonomous factors
Eurosystem net asset purchases,influenced,monetary dynamics
Eurosystem net asset purchases,offset by,second series of targeted longer term refinancing operations TLTRO II
Eurosystem net asset purchases,offset by factors,liquidity absorbing autonomous factors
Eurosystem net asset purchases,increase in liquidity date,1 November 2019
inversion,at,shorter to medium term maturities initial state
shorter to medium term maturities initial state,was initially,practically flat
April 2021,time of,euro area bank lending survey
April 2021,offset pressure from,energy related base effects
current state,compared to,summer of 2019
Euro area equity prices,started to decline,end of February
Euro area equity prices,reached new highs in,record highs
Euro area equity prices,decline caused by,risk premia
Euro area equity prices,decline caused by,coronavirus concerns
Euro area equity prices,dropped due to,coronavirus spread
Euro area equity prices,increased during,first part of the review period
Euro area equity prices,declined at,end of January
Euro area equity prices,rise backdrop,discount rates
Euro area equity prices,rise backdrop,corporate earnings growth expectations
first part of the review period,characterized by,upward surprises in headline inflation
first part of the review period,characterized by,increasing near term inflation expectations
first part of the review period,lasted until,late February
first part of the review period,witnessed upward movement of,EuroSTR forward curve
record highs,time,November
record highs,observed in,United States
record highs,location,United States
non financial corporations NFCs,equity price fall in,United States
non financial corporations NFCs,equity price fall in,euro area
non financial corporations NFCs,equity prices for,United States
non financial corporations NFCs,equity prices for,euro area
non financial corporations NFCs,equity prices decreased by,declined by 19percent
non financial corporations NFCs,decrease ended on,11 March 2020
non financial corporations NFCs,decrease started on,21 February 2020
non financial corporations NFCs,recipients of,loans
non financial corporations NFCs,loan rate,4 point 38percent
banks in the Euro area,equity prices decreased by,decreased by 30percent
banks in the Euro area,decrease ended on,11 March 2020
banks in the Euro area,decrease started on,21 February 2020
NFC in the United States,price fall between,21 February 2020
NFC in the United States,equity prices fell by,fell back by 12percent
banks in the United States,price fall between,11 March 2020
banks in the United States,equity prices fell by,fell back by 36percent
implied stock market volatility,surged in,Euro area equity prices
investment grade NFC bonds,spread value,104 basis points
investment grade NFC bonds,spread relative to,risk free rate
investment grade NFC bonds,spread increase by,42 basis points
investment grade NFC bonds,spread at,119 basis points
investment grade NFC bonds,spread increase on,21 February 2020
investment grade NFC bonds,spreads after decline,121 basis points
investment grade NFC bonds,increase spreads,81 basis points
market sentiment,affects,economic growth
market sentiment,seen in,equity market
market sentiment,improves beyond,beyond 2022
ratings,remained unchanged when,corporate bond spreads
expected default frequencies,remained unchanged when,corporate bond spreads
annual real GDP,according to,June 2020 Eurosystem staff macroeconomic projections
annual real GDP,projection for year,first quarter of 2020
GDP outlook,was revised due to,coronavirus
Real GDP,time period,February
Real GDP,in time,first quarter of 2022
Real GDP,change in,United Kingdom
Real GDP,increased by,0 point 1percent
Real GDP,in time period,fourth quarter of 2019
Real GDP,was in,previous quarter
Real GDP,declined in,first quarter of 2020
Real GDP,declined by,0 point 4percent
Real GDP,had value of,0 point 3percent
Net exports,affected,fourth quarter of 2019
Net exports,contributed negatively with,0 point 8
changes in inventories,affected,fourth quarter of 2019
changes in inventories,contributed negatively with,0 point 1 percentage points
changes in inventories,impact in,first quarter of 2021
changes in inventories,had impact on,euro area
changes in inventories,had a strong positive impact on,first quarter of 2021
changes in inventories,offset contributions of,investment
changes in inventories,offset contributions of,Net trade
changes in inventories,mades positive contribution to growth,Euro area
yearly rise in GDP,had value of,1 point 2percent
yearly rise in GDP,occured in,euro area in 2019
rise in GDP,had value of,1 point 9percent
rise in GDP,occured in,euro area in 2018
employment increase,ConcentratedIn,services sector
employment increase,ConcentratedIn,construction sector
employment increase,IncreaseBy,0 point 3percent
pre crisis peak,TimeOf,first quarter of 2008
current level of employment,HigherThan,second quarter of 2013
current level of employment,StandsAt,4 point 3percent above
current level of employment,ComparisonTo,pre crisis peak
trough,in relation to,trend level
trough,TimeOf,second quarter of 2013
trough,NumberOfPeople,12 point 0 million more people
trough,expected occurrence in,fourth quarter of 2022
labour productivity per person,ChangeBy,decreased
decreased,QuantifiedAs,0 point 2percent
external trade sector,DescribedAs,less labour intensive
short term employment dynamics,time period,first quarter of 2020
short term employment dynamics,depends on,coronavirus
euro area unemployment rate,time period,January 2020
euro area unemployment rate,rate,7 point 4percent
